Year,State,Count,Latitude,Longitude
2015,Alabama,10,32.31823,-86.902298
2015,Alaska,8,66.160507,-153.369141
2015,Arizona,276,34.048927,-111.093735
2015,Arkansas,6,34.799999,-92.199997
2015,California,837,36.778259,-119.417931
2015,Colorado,107,39.113014,-105.358887
2015,Connecticut,93,41.599998,-72.699997
2015,Delaware,11,39,-75.5
2015,District of Columbia,65,38.9072,-77.0369
2015,Florida,72,27.994402,-81.760254
2015,Georgia,44,33.247875,-83.441162
2015,Idaho,34,44.068203,-114.742043
2015,Illinois,90,40,-89
2015,Indiana,63,40.273502,-86.126976
2015,Iowa,6,42.032974,-93.581543
2015,Kansas,62,38.5,-98
2015,Kentucky,188,37.839333,-84.27002
2015,Louisiana,40,30.39183,-92.329102
2015,Maine,38,45.367584,-68.972168
2015,Maryland,41,39.045753,-76.641273
2015,Massachusetts,416,42.407211,-71.382439
2015,Michigan,309,44.182205,-84.506836
2015,Minnesota,109,46.39241,-94.63623
2015,Missouri,100,38.573936,-92.60376
2015,Montana,45,46.96526,-109.533691
2015,Nebraska,19,41.5,-100
2015,Nevada,58,39.876019,-117.224121
2015,New Hampshire,13,44,-71.5
2015,New Jersey,330,39.833851,-74.871826
2015,New Mexico,13,34.307144,-106.018066
2015,New York,500,43,-75
2015,North Carolina,161,35.782169,-80.793457
2015,North Dakota,36,47.650589,-100.437012
2015,Ohio,416,40.367474,-82.996216
2015,Oklahoma,37,36.084621,-96.921387
2015,Oregon,80,44,-120.5
2015,Pennsylvania,57,41.203323,-77.194527
2015,Rhode Island,18,41.742325,-71.742332
2015,South Carolina,57,33.836082,-81.163727
2015,South Dakota,16,44.5,-100
2015,Tennessee,221,35.860119,-86.660156
2015,Texas,191,31,-100
2015,Utah,47,39.41922,-111.950684
2015,Vermont,8,44,-72.699997
2015,Virginia,158,37.926868,-78.024902
2015,Washington,275,47.751076,-120.740135
2015,West Virginia,42,39,-80.5
2015,Wisconsin,45,44.5,-89.5
2015,Wyoming,2,43.07597,-107.290283
2016,Alabama,14,32.31823,-86.902298
2016,Alaska,11,66.160507,-153.369141
2016,Arizona,217,34.048927,-111.093735
2016,Arkansas,12,34.799999,-92.199997
2016,California,931,36.778259,-119.417931
2016,Colorado,105,39.113014,-105.358887
2016,Connecticut,108,41.599998,-72.699997
2016,Delaware,15,39,-75.5
2016,District of Columbia,115,38.9072,-77.0369
2016,Florida,110,27.994402,-81.760254
2016,Georgia,39,33.247875,-83.441162
2016,Idaho,27,44.068203,-114.742043
2016,Illinois,111,40,-89
2016,Indiana,79,40.273502,-86.126976
2016,Iowa,17,42.032974,-93.581543
2016,Kansas,52,38.5,-98
2016,Kentucky,214,37.839333,-84.27002
2016,Louisiana,26,30.39183,-92.329102
2016,Maine,41,45.367584,-68.972168
2016,Maryland,39,39.045753,-76.641273
2016,Massachusetts,399,42.407211,-71.382439
2016,Michigan,406,44.182205,-84.506836
2016,Minnesota,119,46.39241,-94.63623
2016,Mississippi,20,33,-90
2016,Missouri,89,38.573936,-92.60376
2016,Montana,21,46.96526,-109.533691
2016,Nebraska,31,41.5,-100
2016,Nevada,43,39.876019,-117.224121
2016,New Hampshire,29,44,-71.5
2016,New Jersey,283,39.833851,-74.871826
2016,New Mexico,26,34.307144,-106.018066
2016,New York,595,43,-75
2016,North Carolina,148,35.782169,-80.793457
2016,North Dakota,13,47.650589,-100.437012
2016,Ohio,471,40.367474,-82.996216
2016,Oklahoma,35,36.084621,-96.921387
2016,Oregon,108,44,-120.5
2016,Pennsylvania,72,41.203323,-77.194527
2016,Rhode Island,12,41.742325,-71.742332
2016,South Carolina,30,33.836082,-81.163727
2016,South Dakota,18,44.5,-100
2016,Tennessee,149,35.860119,-86.660156
2016,Texas,179,31,-100
2016,Utah,67,39.41922,-111.950684
2016,Vermont,25,44,-72.699997
2016,Virginia,127,37.926868,-78.024902
2016,Washington,395,47.751076,-120.740135
2016,West Virginia,41,39,-80.5
2016,Wisconsin,39,44.5,-89.5
2016,Wyoming,3,43.07597,-107.290283
2017,Alabama,14,32.31823,-86.902298
2017,Alaska,4,66.160507,-153.369141
2017,Arizona,264,34.048927,-111.093735
2017,Arkansas,24,34.799999,-92.199997
2017,California,1094,36.778259,-119.417931
2017,Colorado,78,39.113014,-105.358887
2017,Connecticut,110,41.599998,-72.699997
2017,Delaware,29,39,-75.5
2017,District of Columbia,194,38.9072,-77.0369
2017,Florida,145,27.994402,-81.760254
2017,Georgia,27,33.247875,-83.441162
2017,Idaho,41,44.068203,-114.742043
2017,Illinois,85,40,-89
2017,Indiana,97,40.273502,-86.126976
2017,Iowa,10,42.032974,-93.581543
2017,Kansas,77,38.5,-98
2017,Kentucky,380,37.839333,-84.27002
2017,Louisiana,42,30.39183,-92.329102
2017,Maine,32,45.367584,-68.972168
2017,Maryland,102,39.045753,-76.641273
2017,Massachusetts,434,42.407211,-71.382439
2017,Michigan,454,44.182205,-84.506836
2017,Minnesota,144,46.39241,-94.63623
2017,Mississippi,49,33,-90
2017,Missouri,104,38.573936,-92.60376
2017,Montana,21,46.96526,-109.533691
2017,Nebraska,41,41.5,-100
2017,Nevada,5,39.876019,-117.224121
2017,New Hampshire,15,44,-71.5
2017,New Jersey,504,39.833851,-74.871826
2017,New Mexico,7,34.307144,-106.018066
2017,New York,554,43,-75
2017,North Carolina,166,35.782169,-80.793457
2017,North Dakota,15,47.650589,-100.437012
2017,Ohio,384,40.367474,-82.996216
2017,Oklahoma,29,36.084621,-96.921387
2017,Oregon,150,44,-120.5
2017,Pennsylvania,76,41.203323,-77.194527
2017,Rhode Island,11,41.742325,-71.742332
2017,South Carolina,83,33.836082,-81.163727
2017,South Dakota,15,44.5,-100
2017,Tennessee,135,35.860119,-86.660156
2017,Texas,184,31,-100
2017,Utah,47,39.41922,-111.950684
2017,Vermont,31,44,-72.699997
2017,Virginia,216,37.926868,-78.024902
2017,Washington,511,47.751076,-120.740135
2017,West Virginia,38,39,-80.5
2017,Wisconsin,42,44.5,-89.5
2017,Wyoming,4,43.07597,-107.290283
2018,Alaska,5,66.160507,-153.369141
2018,Arizona,169,34.048927,-111.093735
2018,Arkansas,22,34.799999,-92.199997
2018,California,1065,36.778259,-119.417931
2018,Colorado,97,39.113014,-105.358887
2018,Connecticut,93,41.599998,-72.699997
2018,Delaware,21,39,-75.5
2018,District of Columbia,213,38.9072,-77.0369
2018,Florida,141,27.994402,-81.760254
2018,Georgia,37,33.247875,-83.441162
2018,Hawaii,44,19.741755,-155.844437
2018,Idaho,24,44.068203,-114.742043
2018,Illinois,111,40,-89
2018,Indiana,100,40.273502,-86.126976
2018,Iowa,15,42.032974,-93.581543
2018,Kansas,75,38.5,-98
2018,Kentucky,234,37.839333,-84.27002
2018,Louisiana,45,30.39183,-92.329102
2018,Maine,20,45.367584,-68.972168
2018,Maryland,48,39.045753,-76.641273
2018,Massachusetts,361,42.407211,-71.382439
2018,Michigan,439,44.182205,-84.506836
2018,Minnesota,126,46.39241,-94.63623
2018,Mississippi,10,33,-90
2018,Missouri,66,38.573936,-92.60376
2018,Montana,12,46.96526,-109.533691
2018,Nebraska,39,41.5,-100
2018,Nevada,38,39.876019,-117.224121
2018,New Hampshire,13,44,-71.5
2018,New Jersey,545,39.833851,-74.871826
2018,New Mexico,46,34.307144,-106.018066
2018,New York,523,43,-75
2018,North Carolina,140,35.782169,-80.793457
2018,North Dakota,10,47.650589,-100.437012
2018,Ohio,360,40.367474,-82.996216
2018,Oklahoma,30,36.084621,-96.921387
2018,Oregon,137,44,-120.5
2018,Pennsylvania,68,41.203323,-77.194527
2018,Rhode Island,13,41.742325,-71.742332
2018,South Carolina,65,33.836082,-81.163727
2018,South Dakota,20,44.5,-100
2018,Tennessee,159,35.860119,-86.660156
2018,Texas,405,31,-100
2018,Utah,44,39.41922,-111.950684
2018,Vermont,43,44,-72.699997
2018,Virginia,150,37.926868,-78.024902
2018,Washington,514,47.751076,-120.740135
2018,West Virginia,85,39,-80.5
2018,Wisconsin,48,44.5,-89.5
2019,Alabama,1,32.31823,-86.902298
2019,Alaska,11,66.160507,-153.369141
2019,Arizona,209,34.048927,-111.093735
2019,Arkansas,14,34.799999,-92.199997
2019,California,1015,36.778259,-119.417931
2019,Colorado,231,39.113014,-105.358887
2019,Connecticut,80,41.599998,-72.699997
2019,Delaware,22,39,-75.5
2019,District of Columbia,222,38.9072,-77.0369
2019,Florida,111,27.994402,-81.760254
2019,Georgia,147,33.247875,-83.441162
2019,Hawaii,40,19.741755,-155.844437
2019,Idaho,21,44.068203,-114.742043
2019,Illinois,68,40,-89
2019,Indiana,88,40.273502,-86.126976
2019,Iowa,9,42.032974,-93.581543
2019,Kansas,75,38.5,-98
2019,Kentucky,145,37.839333,-84.27002
2019,Louisiana,26,30.39183,-92.329102
2019,Maine,19,45.367584,-68.972168
2019,Maryland,19,39.045753,-76.641273
2019,Massachusetts,376,42.407211,-71.382439
2019,Michigan,404,44.182205,-84.506836
2019,Minnesota,140,46.39241,-94.63623
2019,Mississippi,21,33,-90
2019,Missouri,90,38.573936,-92.60376
2019,Montana,37,46.96526,-109.533691
2019,Nebraska,44,41.5,-100
2019,Nevada,47,39.876019,-117.224121
2019,New Hampshire,16,44,-71.5
2019,New Jersey,996,39.833851,-74.871826
2019,New Mexico,52,34.307144,-106.018066
2019,New York,612,43,-75
2019,North Carolina,268,35.782169,-80.793457
2019,North Dakota,19,47.650589,-100.437012
2019,Ohio,346,40.367474,-82.996216
2019,Oklahoma,30,36.084621,-96.921387
2019,Oregon,178,44,-120.5
2019,Pennsylvania,45,41.203323,-77.194527
2019,Rhode Island,17,41.742325,-71.742332
2019,South Carolina,57,33.836082,-81.163727
2019,South Dakota,20,44.5,-100
2019,Tennessee,114,35.860119,-86.660156
2019,Texas,409,31,-100
2019,Utah,34,39.41922,-111.950684
2019,Vermont,34,44,-72.699997
2019,Virginia,169,37.926868,-78.024902
2019,Washington,511,47.751076,-120.740135
2019,West Virginia,54,39,-80.5
2019,Wisconsin,50,44.5,-89.5
2019,Wyoming,5,43.07597,-107.290283
2020,Alabama,27,32.31823,-86.902298
2020,Alaska,10,66.160507,-153.369141
2020,Arizona,282,34.048927,-111.093735
2020,Arkansas,50,34.799999,-92.199997
2020,California,1339,36.778259,-119.417931
2020,Colorado,283,39.113014,-105.358887
2020,Connecticut,101,41.599998,-72.699997
2020,Delaware,13,39,-75.5
2020,District of Columbia,134,38.9072,-77.0369
2020,Florida,109,27.994402,-81.760254
2020,Georgia,253,33.247875,-83.441162
2020,Hawaii,36,19.741755,-155.844437
2020,Idaho,48,44.068203,-114.742043
2020,Illinois,61,40,-89
2020,Indiana,187,40.273502,-86.126976
2020,Iowa,21,42.032974,-93.581543
2020,Kansas,124,38.5,-98
2020,Kentucky,167,37.839333,-84.27002
2020,Louisiana,62,30.39183,-92.329102
2020,Maine,85,45.367584,-68.972168
2020,Maryland,40,39.045753,-76.641273
2020,Massachusetts,389,42.407211,-71.382439
2020,Michigan,420,44.182205,-84.506836
2020,Minnesota,194,46.39241,-94.63623
2020,Mississippi,36,33,-90
2020,Missouri,134,38.573936,-92.60376
2020,Montana,26,46.96526,-109.533691
2020,Nebraska,100,41.5,-100
2020,Nevada,148,39.876019,-117.224121
2020,New Hampshire,30,44,-71.5
2020,New Jersey,1428,39.833851,-74.871826
2020,New Mexico,65,34.307144,-106.018066
2020,New York,465,43,-75
2020,North Carolina,346,35.782169,-80.793457
2020,North Dakota,22,47.650589,-100.437012
2020,Ohio,53,40.367474,-82.996216
2020,Oklahoma,58,36.084621,-96.921387
2020,Oregon,280,44,-120.5
2020,Pennsylvania,83,41.203323,-77.194527
2020,Rhode Island,14,41.742325,-71.742332
2020,South Carolina,123,33.836082,-81.163727
2020,South Dakota,17,44.5,-100
2020,Tennessee,134,35.860119,-86.660156
2020,Texas,556,31,-100
2020,Utah,54,39.41922,-111.950684
2020,Vermont,77,44,-72.699997
2020,Virginia,187,37.926868,-78.024902
2020,Washington,451,47.751076,-120.740135
2020,West Virginia,82,39,-80.5
2020,Wisconsin,157,44.5,-89.5
2020,Wyoming,18,43.07597,-107.290283
